"Arabidopsis Thaliana","Pseudomonas Syringae","state"
"AT5G60120","AvrPto1_Pla A7386","interaction"
"AT3G17860","AvrPto1_Pla A7386","interaction"
"AT5G60120","HopBB1_Pmo M301020","interaction"
"AT3G17860","HopBB1_Pmo M301020","interaction"
"AT5G20030","HopBF1_Pla 107","interaction"
"AT5G60120","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G17860","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G11590","HopZ3_Paf DSM5025","interaction"
"AT3G49580","AvrB2_Pgy R0","interaction"
"AT3G49580","AvrB2_Pph 1448A","interaction"
"AT3G49580","HopF3_Pmp 19322","interaction"
"AT3G49580","HopG1_Pph 1448A","interaction"
"AT3G49580","HopR1-C-TERM_Pto DC3000","interaction"
"AT5G24660","HopZ3_Paf DSM5025","interaction"
"AT3G51960","AvrB2_Pgy R0","interaction"
"AT3G51960","AvrB2_Pph 1448A","interaction"
"AT5G43700","HopH1_Psy B728A","interaction"
"AT5G22355","AvrPto1_Pla A7386","interaction"
"AT4G11890","AvrPto1_Pmo M301020","interaction"
"AT4G11890","HopAB1_Pph 1448A","interaction"
"AT3G11720","HopM1_Pph 1448A","interaction"
"AT5G51910","AvrB2_Pgy R0","interaction"
"AT2G04800","AvrPto1_Pla A7386","interaction"
"AT3G27960","HopAB1_Psy B728A","interaction"
"AT3G02150","HopBB1_Pmo M301020","interaction"
"AT3G02150","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G25070","AvrB1_Pgy R0","interaction"
"AT1G29990","HopAO1-N-TERM_Pto DC3000","interaction"
"AT1G22920","AvrB1_Pgy R0","interaction"
"AT1G22920","AvrB2_Pgy R0","interaction"
"AT1G22920","AvrB2_Pph 1448A","interaction"
"AT1G22920","AvrPto1_Pla A7386","interaction"
"AT4G11890","AvrPto1_Pla 107","interaction"
"AT5G59650","HopAB1_Pph 1448A","interaction"
"AT3G46370","HopAB1_Pph 1448A","interaction"
"AT3G57720","HopAB1_Psy B728A","interaction"
"AT5G59650","HopAB1_Psy B728A","interaction"
"AT4G11890","HopAB1_Psy B728A","interaction"
"AT5G59670","HopAB1_Psy B728A","interaction"
"AT3G46370","HopAB2_Pto DC3000","interaction"
"AT1G22920","HopAR1_Pph 1302A","interaction"
"AT1G22920","HopAR1_Pph 1302A_CatalyticDead","interaction"
"AT1G22920","HopF3_Pph 1448A","interaction"
"AT3G49570","HopR1-C-TERM_Pto DC3000","interaction"
"AT4G01920","AvrPto1_Psy B728A","interaction"
"AT2G35940","AvrPto1_Psy B728A","interaction"
"AT3G07780","HopO1-2_Pto DC3000","interaction"
"AT1G24050","HopAO1_Pto DC3000","interaction"
"AT4G11070","AvrRps4_Pph 1448A","interaction"
"AT4G38800","HopAF1_Psy B728A","interaction"
"AT4G39050","HopG1_Pto DC3000","interaction"
"AT3G48150","AvrPto1_Pto DC3000","interaction"
"AT3G48150","AvrPto1_Psy B728A","interaction"
"AT3G48150","HopO1-2_Pto DC3000","interaction"
"AT5G60120","AvrPto1_Psy B728A","interaction"
"AT3G11590","HopAG1_Psy B728A","interaction"
"AT3G17860","AvrPto1_Pto DC3000","interaction"
"AT3G17860","AvrPto1_Psy B728A","interaction"
"AT5G16940","HopO1-2_Pto DC3000","interaction"
"AT5G22355","AvrPto1_Pto DC3000","interaction"
"AT5G22355","AvrPto1_Psy B728A","interaction"
"AT2G04800","AvrPto1_Psy B728A","interaction"
"AT1G22920","AvrPto1_Pto DC3000","interaction"
"AT1G22920","AvrPto1_Psy B728A","interaction"
"AT1G22920","AvrRpm1_Pma M2","interaction"
"AT1G22920","AvrRpm1_Psy B728A","interaction"
"AT1G22920","HopP1_Pto DC3000","interaction"
"AT3G49570","HopV1_Pph 1448A","interaction"
"AT3G49580","AvrRpm1_Pma M2","interaction"
"AT3G49580","AvrB1_Pgy R0","interaction"
"AT4G02550","AvrB2_Pgy R0","interaction"
"AT3G49580","AvrB4-1_Pph 1448A","interaction"
"AT3G49580","HopAT1_Pph 1448A","interaction"
"AT1G22920","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT1G22920","HopAF1_Pph 1448A","noninteraction"
"AT1G22920","AvrRps4_Pph 1448A","noninteraction"
"AT1G22920","HopAG1_Psy B728A","noninteraction"
"AT1G22920","HopAB2_Pto DC3000","noninteraction"
"AT1G22920","HopAB1_Pph 1448A","noninteraction"
"AT1G22920","HopBB1_Pmo M301020","noninteraction"
"AT1G22920","HopAO1_Pto DC3000","noninteraction"
"AT1G22920","HopAF1_Ppi 1704B","noninteraction"
"AT1G22920","HopZ3_Paf DSM5025","noninteraction"
"AT1G22920","HopF2_Pto DC3000","noninteraction"
"AT1G22920","HopD1_Pto DC3000","noninteraction"
"AT1G22920","HopF3_Pmp 19322","noninteraction"
"AT1G22920","HopX1_Pto DC3000","noninteraction"
"AT1G22920","HopM1_Pph 1448A","noninteraction"
"AT1G22920","HopV1_Pph 1448A","noninteraction"
"AT1G22920","HopAB1_Psy B728A","noninteraction"
"AT1G22920","HopX1_Pph 1448A","noninteraction"
"AT3G49580","HopO1-2_Pto DC3000","noninteraction"
"AT3G49580","AvrPto1_Pto DC3000","noninteraction"
"AT3G49580","AvrPto1_Psy B728A","noninteraction"
"AT3G49580","HopBB1_Pmo M301020","noninteraction"
"AT3G49580","AvrPto1_Pla A7386","noninteraction"
"AT3G49580","HopAG1_Psy B728A","noninteraction"
"AT3G49580","HopBF1_Pla 107","noninteraction"
"AT3G49580","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT3G47620","AvrB2_Pgy R0","noninteraction"
"AT3G47620","HopO1-2_Pto DC3000","noninteraction"
"AT3G47620","AvrB1_Pgy R0","noninteraction"
"AT3G47620","AvrB2_Pph 1448A","noninteraction"
"AT3G47620","HopD1_Pto DC3000","noninteraction"
"AT3G47620","AvrRpm1_Pma M2","noninteraction"
"AT3G47620","HopAB1_Pph 1448A","noninteraction"
"AT3G48150","HopBB1_Pmo M301020","noninteraction"
"AT3G48150","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT3G48150","AvrPto1_Pmo M301020","noninteraction"
"AT3G48150","HopF3_Pph 1448A","noninteraction"
"AT3G48150","AvrRpm1_Psy B728A","noninteraction"
"AT4G17680","AvrPto1_Pto DC3000","noninteraction"
"AT4G17680","AvrPto1_Pla 107","noninteraction"
"AT4G17680","AvrPto1_Pla A7386","noninteraction"
"AT4G17680","HopG1_Pph 1448A","noninteraction"
"AT4G17680","HopQ1-1_Pto DC3000","noninteraction"
"AT4G17680","HopA1_Pto DC3000","noninteraction"
"AT4G17680","AvrPto5_Pma M4a","noninteraction"
"AT3G17860","AvrPto1_Pla 107","noninteraction"
"AT3G17860","HopD1_Pph 1448A","noninteraction"
"AT3G17860","HopAB1_Pph 1448A","noninteraction"
"AT3G17860","AvrPto5_Pma M4a","noninteraction"
"AT4G11890","HopBF1_Pla 107","noninteraction"
"AT4G11890","AvrB4-1_Pph 1448A","noninteraction"
"AT4G11890","AvrB2_Pph 1448A","noninteraction"
"AT5G60120","AvrB1_Pgy R0","noninteraction"
"AT5G60120","AvrB2_Pgy R0","noninteraction"
"AT5G60120","AvrPto1_Pla 107","noninteraction"
"AT5G60120","HopD1_Pph 1448A","noninteraction"
"AT5G60120","AvrPto1_Pmo M301020","noninteraction"
"AT4G38800","AvrPto1_Psy B728A","noninteraction"
"AT4G38800","AvrPto1_Pto DC3000","noninteraction"
"AT4G38800","AvrB2_Pgy R0","noninteraction"
"AT1G69690","HopF3_Pph 1448A","noninteraction"
"AT2G04800","HopH1_Psy B728A","noninteraction"
"AT2G04800","AvrB4-1_Pph 1448A","noninteraction"
"AT3G07780","AvrPto1_Pla 107","noninteraction"
"AT3G07780","AvrPto1_Psy B728A","noninteraction"
"AT3G46370","AvrB2_Pgy R0","noninteraction"
"AT3G46370","HopZ3_Paf DSM5025","noninteraction"
"AT3G63210","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT3G63210","HopAB1_Psy B728A","noninteraction"
"AT3G63210","AvrB4-1_Pph 1448A","noninteraction"
"AT4G01920","HopAB1_Psy B728A","noninteraction"
"AT4G01920","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT4G39050","HopAT1_Pph 1448A","noninteraction"
"AT4G39050","AvrPto1_Pto DC3000","noninteraction"
"AT4G39050","AvrB1_Pgy R0","noninteraction"
"AT5G22355","AvrB2_Pgy R0","noninteraction"
"AT5G22355","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT5G22355","HopAB1_Psy B728A","noninteraction"
"AT1G24050","AvrB2_Pph 1448A","noninteraction"
"AT1G24050","AvrPto1_Pla A7386","noninteraction"
"AT1G29990","AvrPto1_Pto DC3000","noninteraction"
"AT2G35940","HopZ3_Paf DSM5025","noninteraction"
"AT3G02150","HopAB1_Psy B728A","noninteraction"
"AT3G02150","HopAR1_Pph 1302A_CatalyticDead","noninteraction"
"AT3G11590","AvrRpm1_Pma M2","noninteraction"
"AT3G11590","AvrB2_Pgy R0","noninteraction"
"AT3G49570","HopBB1_Pmo M301020","noninteraction"
"AT3G51960","AvrPto1_Pto DC3000","noninteraction"
"AT3G51960","AvrB4-1_Pph 1448A","noninteraction"
"AT4G19030","HopV1_Pph 1448A","noninteraction"
"AT4G19030","AvrPto1_Pla A7386","noninteraction"
"AT4G35580","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT5G13810","AvrB2_Pph 1448A","noninteraction"
"AT5G13810","HopC1_Pto DC3000","noninteraction"
"AT5G22290","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT5G22290","AvrPto1_Psy B728A","noninteraction"
"AT5G51910","AvrB4-1_Pph 1448A","noninteraction"
"AT5G51910","AvrPto1_Pmo M301020","noninteraction"
"AT5G59650","AvrRpm1_Psy B728A","noninteraction"
"AT5G59650","AvrB1_Pgy R0","noninteraction"
"AT1G14920","AvrPto1_Psy B728A","noninteraction"
"AT2G21380","AvrPto1_Psy B728A","noninteraction"
"AT2G47060","HopAT1_Pph 1448A","noninteraction"
"AT3G11720","AvrB2_Pph 1448A","noninteraction"
"AT3G17410","AvrB2_Pph 1448A","noninteraction"
"AT3G25070","AvrPto1_Psy B728A","noninteraction"
"AT3G27960","AvrPto1_Pla A7386","noninteraction"
"AT3G48550","HopAB1_Psy B728A","noninteraction"
"AT3G53350","HopD1_Pph 1448A","noninteraction"
"AT3G53410","HopAB1_Pph 1448A","noninteraction"
"AT3G57720","AvrB2_Pgy R0","noninteraction"
"AT4G00710","AvrB4-1_Pph 1448A","noninteraction"
"AT4G02550","AvrPto1_Pto DC3000","noninteraction"
"AT4G02590","HopBF1_Pla 107","noninteraction"
"AT4G08150","HopAR1_Pph 1302A","noninteraction"
"AT4G11070","AvrPto1_Psy B728A","noninteraction"
"AT4G17710","HopBF1_Pla 107","noninteraction"
"AT4G36540","AvrPto1_Pla A7386","noninteraction"
"AT5G06780","AvrPto1_Pla A7386","noninteraction"
"AT5G19990","AvrPto1_Pla A7386","noninteraction"
"AT5G20000","AvrB4-1_Pph 1448A","noninteraction"
"AT5G20030","AvrPto1_Psy B728A","noninteraction"
"AT5G43700","AvrPto1_Pto DC3000","noninteraction"
