"Arabidopsis Thaliana","Pseudomonas Syringae","state"
"AT5G60120","AvrPto1_Pla A7386","interaction"
"AT3G17860","AvrPto1_Pla A7386","interaction"
"AT5G60120","HopBB1_Pmo M301020","interaction"
"AT3G17860","HopBB1_Pmo M301020","interaction"
"AT5G20030","HopBF1_Pla 107","interaction"
"AT5G60120","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G17860","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G11590","HopZ3_Paf DSM5025","interaction"
"AT3G49580","AvrB2_Pgy R0","interaction"
"AT3G49580","AvrB2_Pph 1448A","interaction"
"AT3G49580","HopF3_Pmp 19322","interaction"
"AT3G49580","HopG1_Pph 1448A","interaction"
"AT3G49580","HopR1-C-TERM_Pto DC3000","interaction"
"AT5G24660","HopZ3_Paf DSM5025","interaction"
"AT3G51960","AvrB2_Pgy R0","interaction"
"AT3G51960","AvrB2_Pph 1448A","interaction"
"AT5G43700","HopH1_Psy B728A","interaction"
"AT5G22355","AvrPto1_Pla A7386","interaction"
"AT4G11890","AvrPto1_Pmo M301020","interaction"
"AT4G11890","HopAB1_Pph 1448A","interaction"
"AT3G11720","HopM1_Pph 1448A","interaction"
"AT5G51910","AvrB2_Pgy R0","interaction"
"AT2G04800","AvrPto1_Pla A7386","interaction"
"AT3G27960","HopAB1_Psy B728A","interaction"
"AT3G02150","HopBB1_Pmo M301020","interaction"
"AT3G02150","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G25070","AvrB1_Pgy R0","interaction"
"AT1G29990","HopAO1-N-TERM_Pto DC3000","interaction"
"AT1G22920","AvrB1_Pgy R0","interaction"
"AT1G22920","AvrB2_Pgy R0","interaction"
"AT1G22920","AvrB2_Pph 1448A","interaction"
"AT1G22920","AvrPto1_Pla A7386","interaction"
"AT4G11890","AvrPto1_Pla 107","interaction"
"AT5G59650","HopAB1_Pph 1448A","interaction"
"AT3G46370","HopAB1_Pph 1448A","interaction"
"AT3G57720","HopAB1_Psy B728A","interaction"
"AT5G59650","HopAB1_Psy B728A","interaction"
"AT4G11890","HopAB1_Psy B728A","interaction"
"AT5G59670","HopAB1_Psy B728A","interaction"
"AT3G46370","HopAB2_Pto DC3000","interaction"
"AT1G22920","HopAR1_Pph 1302A","interaction"
"AT1G22920","HopAR1_Pph 1302A_CatalyticDead","interaction"
"AT1G22920","HopF3_Pph 1448A","interaction"
"AT3G49570","HopR1-C-TERM_Pto DC3000","interaction"
"AT4G01920","AvrPto1_Psy B728A","interaction"
"AT2G35940","AvrPto1_Psy B728A","interaction"
"AT3G07780","HopO1-2_Pto DC3000","interaction"
"AT1G24050","HopAO1_Pto DC3000","interaction"
"AT4G11070","AvrRps4_Pph 1448A","interaction"
"AT4G38800","HopAF1_Psy B728A","interaction"
"AT4G39050","HopG1_Pto DC3000","interaction"
"AT3G48150","AvrPto1_Pto DC3000","interaction"
"AT3G48150","AvrPto1_Psy B728A","interaction"
"AT3G48150","HopO1-2_Pto DC3000","interaction"
"AT5G60120","AvrPto1_Psy B728A","interaction"
"AT3G11590","HopAG1_Psy B728A","interaction"
"AT3G17860","AvrPto1_Pto DC3000","interaction"
"AT3G17860","AvrPto1_Psy B728A","interaction"
"AT5G16940","HopO1-2_Pto DC3000","interaction"
"AT5G22355","AvrPto1_Pto DC3000","interaction"
"AT5G22355","AvrPto1_Psy B728A","interaction"
"AT2G04800","AvrPto1_Psy B728A","interaction"
"AT1G22920","AvrPto1_Pto DC3000","interaction"
"AT1G22920","AvrPto1_Psy B728A","interaction"
"AT1G22920","AvrRpm1_Pma M2","interaction"
"AT1G22920","AvrRpm1_Psy B728A","interaction"
"AT1G22920","HopP1_Pto DC3000","interaction"
"AT3G49570","HopV1_Pph 1448A","interaction"
"AT3G49580","AvrRpm1_Pma M2","interaction"
"AT3G49580","AvrB1_Pgy R0","interaction"
"AT4G02550","AvrB2_Pgy R0","interaction"
"AT3G49580","AvrB4-1_Pph 1448A","interaction"
"AT3G49580","HopAT1_Pph 1448A","interaction"
"AT3G53410","HopC1_Pto DC3000","noninteraction"
"AT4G38800","HopF2_Pto DC3000","noninteraction"
"AT3G27960","HopAT1_Pph 1448A","noninteraction"
"AT5G60120","HopAF1_Psy B728A","noninteraction"
"AT3G46940","AvrPto1_Pmo M301020","noninteraction"
"AT4G19030","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT4G35580","HopAG1_Psy B728A","noninteraction"
"AT3G53410","HopAB2_Pto DC3000","noninteraction"
"AT2G47060","AvrPto1_Pla 107","noninteraction"
"AT3G07780","HopQ1-1_Pto DC3000","noninteraction"
"AT5G16940","HopAB1_Psy B728A","noninteraction"
"AT4G08150","HopG1_Pto DC3000","noninteraction"
"AT4G19030","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT2G21380","HopD1_Pto DC3000","noninteraction"
"AT5G60120","AvrRpt2_Pto JL1065_CatalyticDead","noninteraction"
"AT5G13810","HopH1_Psy B728A","noninteraction"
"AT3G63210","HopAF1_Pph 1448A","noninteraction"
"AT1G22920","HopAB1_Pph 1448A","noninteraction"
"AT3G53410","AvrPto1_Psy B728A","noninteraction"
"AT5G59670","HopBF1_Pla 107","noninteraction"
"AT5G22290","HopF3_Pph 1448A","noninteraction"
"AT5G22355","AvrB1_Pgy R0","noninteraction"
"AT3G46940","AvrPto1_Psy B728A","noninteraction"
"AT1G24050","HopAG1_Psy B728A","noninteraction"
"AT5G51910","AvrRps4_Pph 1448A","noninteraction"
"AT4G36540","AvrRpm1_Psy B728A","noninteraction"
"AT2G47060","AvrRpt2_Pto JL1065_CatalyticDead","noninteraction"
"AT3G11720","HopF3_Pph 1448A","noninteraction"
"AT4G11890","AvrRpm1_Psy B728A","noninteraction"
"AT2G35940","AvrB2_Pph 1448A","noninteraction"
"AT1G14920","HopAT1_Pph 1448A","noninteraction"
"AT3G17410","HopV1_Pph 1448A","noninteraction"
"AT4G01920","HopF3_Pph 1448A","noninteraction"
"AT5G24660","HopAB1_Psy B728A","noninteraction"
"AT4G19030","HopA1_Pto DC3000","noninteraction"
"AT3G27960","HopH1_Psy B728A","noninteraction"
"AT2G04740","HopH1_Psy B728A","noninteraction"
"AT5G22355","HopF2_Pto DC3000","noninteraction"
"AT3G02150","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT3G17860","HopAR1_Pph 1302A","noninteraction"
"AT3G07780","HopX1_Pto DC3000","noninteraction"
"AT2G28890","HopM1_Pph 1448A","noninteraction"
"AT1G69690","AvrB1_Pgy R0","noninteraction"
"AT5G20030","HopAG1_Psy B728A","noninteraction"
"AT5G51910","HopAO1_Pto DC3000","noninteraction"
"AT3G47620","HopAB1_Psy B728A","noninteraction"
"AT3G53410","AvrB2_Pph 1448A","noninteraction"
"AT5G20000","AvrPto1_Pto DC3000","noninteraction"
"AT4G01920","HopAB1_Psy B728A","noninteraction"
"AT3G17860","HopH1_Psy B728A","noninteraction"
"AT4G38800","HopO1-2_Pto DC3000","noninteraction"
"AT3G17860","HopAF1_Psy B728A","noninteraction"
"AT5G20000","AvrRpm1_Psy B728A","noninteraction"
"AT2G28890","HopAB1_Psy B728A","noninteraction"
"AT4G01920","HopC1_Pto DC3000","noninteraction"
"AT3G11590","HopAF1_Ppi 1704B","noninteraction"
"AT4G08150","HopC1_Pto DC3000","noninteraction"
"AT5G22355","HopX1_Pto DC3000","noninteraction"
"AT1G22920","HopF3_Pmp 19322","noninteraction"
"AT3G27960","HopZ3_Paf DSM5025","noninteraction"
"AT2G04740","AvrPto1_Pto DC3000","noninteraction"
"AT1G24050","HopA1_Pto DC3000","noninteraction"
"AT3G49580","HopG1_Pto DC3000","noninteraction"
"AT4G36540","HopV1_Pph 1448A","noninteraction"
"AT1G14920","HopM1_Pph 1448A","noninteraction"
"AT3G02150","HopQ1-1_Pto DC3000","noninteraction"
"AT2G04740","HopBB1_Pmo M301020","noninteraction"
"AT1G24050","HopC1_Pto DC3000","noninteraction"
"AT3G17860","HopC1_Pto DC3000","noninteraction"
"AT1G14920","HopAF1_Pph 1448A","noninteraction"
"AT2G47060","HopH1_Psy B728A","noninteraction"
"AT2G04800","AvrPto5_Pma M4a","noninteraction"
"AT3G48550","AvrPto5_Pma M4a","noninteraction"
"AT5G22290","HopAG1_Psy B728A","noninteraction"
"AT5G06780","HopC1_Pto DC3000","noninteraction"
"AT1G69690","HopP1_Pto DC3000","noninteraction"
"AT5G13810","HopAF1_Psy B728A","noninteraction"
"AT5G51910","HopG1_Pph 1448A","noninteraction"
"AT4G38800","AvrB1_Pgy R0","noninteraction"
"AT5G59650","HopZ3_Paf DSM5025","noninteraction"
"AT2G04800","HopF3_Pmp 19322","noninteraction"
"AT3G48150","HopAF1_Pto DC3000","noninteraction"
"AT5G43700","HopAR1_Pph 1302A_CatalyticDead","noninteraction"
"AT4G39050","HopO1-2_Pto DC3000","noninteraction"
"AT4G11070","HopF3_Pph 1448A","noninteraction"
"AT2G28890","AvrB2_Pph 1448A","noninteraction"
"AT5G20030","HopAF1_Psy B728A","noninteraction"
"AT4G17710","HopM1_Pph 1448A","noninteraction"
"AT5G20000","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT3G48550","HopA1_Pto DC3000","noninteraction"
"AT3G49580","HopAF1_Psy B728A","noninteraction"
"AT3G63210","HopAR1_Pph 1302A","noninteraction"
"AT2G21380","AvrRpm1_Pma M2","noninteraction"
"AT2G21380","HopAT1_Pph 1448A","noninteraction"
"AT2G39760","HopG1_Pph 1448A","noninteraction"
"AT2G47060","HopAB1_Psy B728A","noninteraction"
"AT4G34120","AvrPto1_Pla A7386","noninteraction"
"AT2G28890","HopAG1_Psy B728A","noninteraction"
"AT2G35940","HopQ1-1_Pto DC3000","noninteraction"
"AT5G51910","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT3G07780","AvrRps4_Pph 1448A","noninteraction"
"AT3G53350","HopM1_Pph 1448A","noninteraction"
"AT4G39050","AvrPto5_Pma M4a","noninteraction"
"AT4G08150","AvrB4-1_Pph 1448A","noninteraction"
"AT3G11590","HopBB1_Pmo M301020","noninteraction"
"AT1G29990","HopAT1_Pph 1448A","noninteraction"
"AT3G46940","HopAT1_Pph 1448A","noninteraction"
"AT5G22290","HopM1_Pph 1448A","noninteraction"
"AT2G39760","HopZ3_Paf DSM5025","noninteraction"
"AT2G04740","AvrRpm1_Psy B728A","noninteraction"
"AT4G38800","AvrPto1_Pto DC3000","noninteraction"
"AT5G24660","HopM1_Pph 1448A","noninteraction"
"AT3G53350","HopAB2_Pto DC3000","noninteraction"
"AT3G46370","AvrPto1_Pla A7386","noninteraction"
"AT5G59670","HopQ1-1_Pto DC3000","noninteraction"
"AT3G49580","HopH1_Psy B728A","noninteraction"
"AT1G14920","HopD1_Pph 1448A","noninteraction"
"AT4G38800","HopM1_Pph 1448A","noninteraction"
"AT2G28890","HopC1_Pto DC3000","noninteraction"
"AT4G02590","HopV1_Pph 1448A","noninteraction"
"AT2G39760","HopV1_Pph 1448A","noninteraction"
"AT3G48550","HopV1_Pph 1448A","noninteraction"
"AT5G19990","HopAG1_Psy B728A","noninteraction"
